Arquivo gerado automaticamente - Dados do forno - LAFAC USP 
 
 
chave 	 Data e horario completo  	t_0 		s1 	s2 	s3 	s4 	s5 	s6	experimento


1	2015-09-18 13:58:08.870000	1442595488.87	-9.0912	352.1283	344.8905	215.386	374.9334	455.7885	teste	
2	2015-09-18 13:58:14.263000	1442595494.26	22.7013	352.1283	344.8905	215.386	374.9334	455.7885	teste	
3	2015-09-18 13:58:19.225000	1442595499.22	21.5238	-2.8527	344.8905	215.386	374.9334	455.7885	teste	
4	2015-09-18 13:58:24.163000	1442595504.16	21.5238	352.1283	344.8905	215.184	374.9334	455.7885	None	
5	2015-09-18 13:58:29.056000	1442595509.06	21.5238	299.7313	344.8905	215.386	374.5612	455.7885	None	
6	2015-09-18 13:58:33.956000	1442595513.96	21.5238	299.7313	344.8905	215.386	374.9334	455.7885	None	
7	2015-09-18 13:58:39.290000	1442595519.29	21.5238	300.0783	344.8905	215.386	374.9334	455.7885	None	
8	2015-09-18 13:58:44.200000	1442595524.2	21.5238	300.0783	344.8905	215.386	374.9334	455.7885	None	
9	2015-09-18 13:58:49.086000	1442595529.09	21.5238	300.0783	344.8905	215.386	374.9334	455.7885	None	
10	2015-09-18 13:58:53.998000	1442595534.0	21.5238	300.0783	344.8905	215.386	374.9334	455.7885	None	
11	2015-09-18 13:58:58.885000	1442595538.88	21.5238	300.0783	344.8905	215.386	374.9334	455.7885	None	
12	2015-09-18 13:59:04.227000	1442595544.23	21.5238	300.0783	344.8905	215.386	374.9334	455.7885	None	
13	2015-09-18 13:59:09.119000	1442595549.12	21.5238	300.0783	344.8905	215.386	374.9334	455.7885	None	
14	2015-09-18 13:59:14.009000	1442595554.01	21.5238	300.0783	344.8905	215.386	374.9334	455.7885	None	
15	2015-09-18 13:59:18.905000	1442595558.9	21.5238	300.0783	344.8905	215.386	374.9334	455.7885	None	
16	2015-09-18 13:59:24.267000	1442595564.26	21.5238	300.0783	344.8905	215.386	374.9334	455.7885	None	
17	2015-09-18 13:59:29.167000	1442595569.16	21.5238	300.0783	344.8905	215.386	374.9334	455.7885	None	
18	2015-09-18 13:59:34.063000	1442595574.05	21.1313	299.7313	344.8905	215.386	374.9334	455.7885	None	
19	2015-09-18 13:59:38.956000	1442595578.95	21.5238	299.7313	344.8905	215.386	374.9334	455.7885	None	
20	2015-09-18 13:59:44.300000	1442595584.29	21.5238	299.7313	344.8905	215.386	374.9334	455.7885	None	
21	2015-09-18 13:59:49.241000	1442595589.23	21.5238	299.7313	344.8905	215.386	374.9334	455.7885	None	
22	2015-09-18 13:59:54.331000	1442595594.32	21.5238	300.0783	344.8905	215.386	374.9334	455.7885	None	
23	2015-09-18 13:59:59.236000	1442595599.23	21.5238	300.0783	344.8905	215.386	374.9334	455.7885	None	
24	2015-09-18 14:00:04.144000	1442595604.14	21.5238	299.7313	344.8905	215.386	374.9334	455.7885	None	
25	2015-09-18 14:00:09.033000	1442595609.03	21.5238	300.0783	344.8905	215.386	374.9334	455.7885	None	
26	2015-09-18 14:00:13.965000	1442595613.96	21.5238	300.0783	344.8905	215.386	374.9334	455.7885	None	
