Arquivo gerado automaticamente - Dados do forno - LAFAC USP 
 
 
chave 	 Data e horario completo  	t_0 		s1 	s2 	s3 	s4 	s5 	s6	experimento
3411	2015-09-10 11:34:36.949512	1441895676.95	277.8263	96.3893	250.1203	143.07	275.9282	119.1625	None	
3412	2015-09-10 11:34:46.981658	1441895686.98	278.6113	98.8183	249.4385	141.858	276.6726	119.1625	None	
3413	2015-09-10 11:34:57.769041	1441895697.77	279.3963	98.1243	247.734	147.312	278.1614	118.7076	None	
3414	2015-09-10 11:35:18.518372	1441895718.52	286.4613	100.9003	248.7567	141.656	280.3946	123.2566	None	
3415	2015-09-10 11:35:28.907942	1441895728.91	286.0688	101.2473	248.0749	142.868	280.3946	125.5311	None	
3416	2015-09-10 11:35:39.311203	1441895739.31	287.2463	104.0233	248.0749	142.464	281.139	131.4448	None	
3417	2015-09-10 11:36:00.094914	1441895760.09	285.6763	101.9413	247.0522	144.282	281.5112	123.2566	None	
3418	2015-09-10 11:36:10.490665	1441895770.49	289.6013	103.6763	247.3931	143.272	283.0	127.3507	None	
3419	2015-09-10 11:36:20.919738	1441895780.92	288.8163	105.0643	246.3704	149.13	284.1166	122.3468	None	
3420	2015-09-10 11:36:31.308419	1441895791.31	290.3863	102.6353	246.7113	152.766	280.3946	120.0723	None	
3421	2015-09-10 11:36:41.760369	1441895801.76	291.5638	107.4933	247.3931	143.474	283.7444	115.0684	None	
3422	2015-09-10 11:36:52.150470	1441895812.15	292.7413	105.7583	247.0522	143.878	283.3722	115.0684	None	
3423	2015-09-10 11:37:02.584742	1441895822.58	291.9563	105.4113	246.0295	145.696	284.861	112.7939	None	
3424	2015-09-10 11:37:23.612120	1441895843.61	293.1338	106.4523	244.6659	148.928	286.3498	125.5311	None	
3425	2015-09-10 11:37:44.475850	1441895864.47	292.7413	105.0643	245.0068	148.726	288.583	114.6135	None	
3426	2015-09-10 11:38:05.289208	1441895885.29	298.2363	104.0233	245.0068	147.716	288.583	120.9821	None	
3427	2015-09-10 11:38:15.683058	1441895895.68	299.0213	101.9413	243.9841	151.756	288.2108	120.9821	None	
3428	2015-09-10 11:38:26.149632	1441895906.15	298.2363	100.2063	243.6432	154.988	287.4664	116.4331	None	
3429	2015-09-10 11:38:36.544498	1441895916.54	298.6288	102.2883	242.9614	153.372	289.6996	114.1586	None	
3430	2015-09-10 11:38:47.055272	1441895927.05	297.0588	100.2063	242.9614	153.17	290.0718	116.888	None	
3431	2015-09-10 11:39:07.937806	1441895947.93	298.6288	105.0643	243.3023	151.15	290.8162	118.2527	None	
3432	2015-09-10 11:39:17.918160	1441895957.91	297.8438	104.0233	242.6205	153.372	290.8162	119.1625	None	
